| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |    ci_upper |   p_value | significant_95   |
| deepseek-v4-flash_few_shot                         | bilstm-crf__supervised                             | DeepSeek-V4-Flash    | BiLSTM-CRF           | 0.752665 | 0.592593 |  0.160382    |  0.0959931  |  0.22516    |    0      | True             |
| deepseek-v4-flash_few_shot                         | neuralmind_bert-large-portuguese-cased__supervised | DeepSeek-V4-Flash    | BERTimbau-large      | 0.752665 | 0.604863 |  0.148663    |  0.091576   |  0.206891   |    0      | True             |
| deepseek-v4-flash_few_shot                         | rufimelo_Legal-BERTimbau-base__supervised          | DeepSeek-V4-Flash    | Legal-BERTimbau-base | 0.752665 | 0.605144 |  0.148292    |  0.094358   |  0.203956   |    0      | True             |
| gpt-5.2_few_shot                                   | deepseek-v4-flash_few_shot                         | GPT-5.2              | DeepSeek-V4-Flash    | 0.606742 | 0.752665 | -0.14606     | -0.188405   | -0.102028   |    0      | True             |
| deepseek-v4-flash_few_shot                         | qwen2.5-72b_few_shot                               | DeepSeek-V4-Flash    | Qwen2.5-72B          | 0.752665 | 0.615385 |  0.137193    |  0.0953534  |  0.179566   |    0      | True             |
| gpt-4.1_few_shot                                   | bilstm-crf__supervised                             | GPT-4.1              | BiLSTM-CRF           | 0.721569 | 0.592593 |  0.129471    |  0.0669995  |  0.191458   |    0      | True             |
| gpt-4.1_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.721569 | 0.604863 |  0.117753    |  0.0630469  |  0.175887   |    0      | True             |
| gpt-4.1_few_shot                                   | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4.1              | Legal-BERTimbau-base | 0.721569 | 0.605144 |  0.117382    |  0.0625418  |  0.174885   |    0.0002 | True             |
| gpt-4.1_few_shot                                   | gpt-5.2_few_shot                                   | GPT-4.1              | GPT-5.2              | 0.721569 | 0.606742 |  0.115149    |  0.0809872  |  0.149969   |    0      | True             |
| gpt-4.1_few_shot                                   | qwen2.5-72b_few_shot                               | GPT-4.1              | Qwen2.5-72B          | 0.721569 | 0.615385 |  0.106282    |  0.0634737  |  0.148682   |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | bilstm-crf__supervised                             | BERTimbau-base       | BiLSTM-CRF           | 0.68956  | 0.592593 |  0.0967447   |  0.0421351  |  0.15363    |    0.0004 | True             |
| gpt-4.1-mini_few_shot                              | bilstm-crf__supervised                             | GPT-4.1-mini         | BiLSTM-CRF           | 0.685134 | 0.592593 |  0.0928502   |  0.0307459  |  0.153471   |    0.0036 | True             |
| gpt-5.1_few_shot                                   | bilstm-crf__supervised                             | GPT-5.1              | BiLSTM-CRF           | 0.684667 | 0.592593 |  0.0922384   |  0.0287323  |  0.155714   |    0.0048 | True             |
| gpt-4.1-nano_few_shot                              | llama-3.3-70b_few_shot                             | GPT-4.1-nano         | Llama-3.3-70B        | 0.430796 | 0.339564 |  0.0911306   |  0.0212847  |  0.159857   |    0.0094 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.68956  | 0.604863 |  0.0850266   |  0.0437888  |  0.129793   |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.605144 | 0.68956  | -0.0846556   | -0.126225   | -0.0449749  |    0      | True             |
| gpt-5.2_few_shot                                   | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.2              | BERTimbau-base       | 0.606742 | 0.68956  | -0.0824231   | -0.128402   | -0.0354031  |    0.0004 | True             |
| gpt-4.1-mini_few_shot                              | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1-mini         | BERTimbau-large      | 0.685134 | 0.604863 |  0.081132    |  0.0276007  |  0.135932   |    0.0018 | True             |
| gpt-4.1-mini_few_shot                              | rufimelo_Legal-BERTimbau-base__supervised          | GPT-4.1-mini         | Legal-BERTimbau-base | 0.685134 | 0.605144 |  0.080761    |  0.0289289  |  0.134822   |    0.0024 | True             |
| gpt-5.1_few_shot                                   | neuralmind_bert-large-portuguese-cased__supervised | GPT-5.1              | BERTimbau-large      | 0.684667 | 0.604863 |  0.0805203   |  0.025151   |  0.138212   |    0.0032 | True             |
