model_a,model_b,display_a,display_b,f1_a,f1_b,diff_f1,ci_lower,ci_upper,p_value,significant_95
gpt-41,neuralmind_bert-large-portuguese-cased__supervised,GPT-4.1,BERTimbau-large,0.7263969171483623,0.6541786743515852,0.07250405285652496,0.018924138404042813,0.12627984928533215,0.0072,True
neuralmind_bert-large-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-large,BiLSTM-CRF,0.6541786743515852,0.7257281553398058,-0.0716707690337509,-0.12305459123902213,-0.021179805237120052,0.006,True
rufimelo_Legal-BERTimbau-base__supervised,gemini-2.5-flash_few_shot,Legal-BERTimbau-base,Gemini-2.5-flash,0.6388059701492537,0.7099903006789526,-0.07156885979097377,-0.1276784751718529,-0.016762155652904023,0.0114,True
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-base-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-base,0.6388059701492537,0.7079889807162535,-0.06921061470532715,-0.10856973091609318,-0.030121514150432988,0.0002,True
gpt-41-mini,deepseek-v3_few_shot,GPT-4.1-mini,DeepSeek-V3,0.7344521224086871,0.6704438149197356,0.06412633199070342,0.028699232355997376,0.0999804898272775,0.0006,True
gpt-35,deepseek-v3_few_shot,GPT-3.5,DeepSeek-V3,0.7323383084577115,0.6704438149197356,0.06200701973065636,0.019568721711449175,0.10436881939413542,0.0056,True
neuralmind_bert-large-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-large,Gemini-2.5-flash,0.6541786743515852,0.7099903006789526,-0.056155611999011444,-0.11208728025390334,-0.003046757098216939,0.0386,True
gpt-41,deepseek-v3_few_shot,GPT-4.1,DeepSeek-V3,0.7263969171483623,0.6704438149197356,0.055970675202873986,0.015216674786109677,0.09538201376971009,0.0088,True
deepseek-v3_few_shot,bilstm-crf__supervised,DeepSeek-V3,BiLSTM-CRF,0.6704438149197356,0.7257281553398058,-0.05513739138009994,-0.10445193828840604,-0.0068923362683502186,0.0236,True
gpt-4-turbo,neuralmind_bert-base-portuguese-cased__supervised,GPT-4 Turbo,BERTimbau-base,0.7619047619047619,0.7079889807162535,0.05442538307204302,0.005782956537092924,0.10301700788327108,0.0292,True
gpt-5.4-mini_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-mini,BERTimbau-base,0.7614213197969544,0.7079889807162535,0.05415109340643433,0.0057022573599059415,0.10323050063976044,0.0274,True
neuralmind_bert-base-portuguese-cased__supervised,neuralmind_bert-large-portuguese-cased__supervised,BERTimbau-base,BERTimbau-large,0.7079889807162535,0.6541786743515852,0.05379736691336482,0.018063815016466877,0.09047437186006799,0.0042,True
gpt-4-turbo,gemini-2.5-flash_few_shot,GPT-4 Turbo,Gemini-2.5-flash,0.7619047619047619,0.7099903006789526,0.052067137986396395,0.01977884541277751,0.08372569842936393,0.002,True
gpt-5.4-mini_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-mini,Gemini-2.5-flash,0.7614213197969544,0.7099903006789526,0.0517928483207877,0.008956319162170262,0.09192675704649406,0.0176,True
gpt-5.4-nano_few_shot,neuralmind_bert-base-portuguese-cased__supervised,GPT-5.4-nano,BERTimbau-base,0.7550200803212852,0.7079889807162535,0.04757182428379181,0.003515728982210098,0.09189793220843785,0.0344,True
gpt-5.4-nano_few_shot,gemini-2.5-flash_few_shot,GPT-5.4-nano,Gemini-2.5-flash,0.7550200803212852,0.7099903006789526,0.04521357919814518,0.009839240282315923,0.07870077940295322,0.013,True
gpt-4o,neuralmind_bert-base-portuguese-cased__supervised,GPT-4o,BERTimbau-base,0.7514910536779325,0.7079889807162535,0.04408210048319032,-0.001595125185874757,0.08928857034134835,0.0574,False
gpt-4o,gemini-2.5-flash_few_shot,GPT-4o,Gemini-2.5-flash,0.7514910536779325,0.7099903006789526,0.04172385539754368,0.004473450107287218,0.0761914976716239,0.0286,True
gemini-2.5-flash_few_shot,deepseek-v3_few_shot,Gemini-2.5-flash,DeepSeek-V3,0.7099903006789526,0.6704438149197356,0.03962223434536048,0.0035166691622215674,0.0761866124786227,0.0278,True
neuralmind_bert-base-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-base,DeepSeek-V3,0.7079889807162535,0.6704438149197356,0.03726398925971385,-0.01449583520628648,0.08739365898432204,0.1468,False
gpt-4-turbo,bilstm-crf__supervised,GPT-4 Turbo,BiLSTM-CRF,0.7619047619047619,0.7257281553398058,0.03655198095165694,-0.014804849812318313,0.08663906707587482,0.163,False
gpt-5.4-mini_few_shot,bilstm-crf__supervised,GPT-5.4-mini,BiLSTM-CRF,0.7614213197969544,0.7257281553398058,0.036277691286048235,-0.018954583504109078,0.08976596987889128,0.1918,False
gpt-4-turbo,gpt-41,GPT-4 Turbo,GPT-4.1,0.7619047619047619,0.7263969171483623,0.035718697128882884,0.005456183618499225,0.06716336167582086,0.0196,True
gpt-5.4-mini_few_shot,gpt-41,GPT-5.4-mini,GPT-4.1,0.7614213197969544,0.7263969171483623,0.03544440746327418,-0.005801998261071855,0.07466964276305044,0.095,False
rufimelo_Legal-BERTimbau-base__supervised,deepseek-v3_few_shot,Legal-BERTimbau-base,DeepSeek-V3,0.6388059701492537,0.6704438149197356,-0.031946625445613296,-0.08820343213235506,0.021169462739374284,0.2544,False
gpt-5.4-nano_few_shot,bilstm-crf__supervised,GPT-5.4-nano,BiLSTM-CRF,0.7550200803212852,0.7257281553398058,0.029698422163405718,-0.022816586380045013,0.08227415284755545,0.2642,False
gpt-4-turbo,gpt-35,GPT-4 Turbo,GPT-3.5,0.7619047619047619,0.7323383084577115,0.0296823526011005,-0.00644254647602245,0.0670774465597551,0.116,False
gpt-5.4-mini_few_shot,gpt-35,GPT-5.4-mini,GPT-3.5,0.7614213197969544,0.7323383084577115,0.029408062935491808,-0.0017025016417115367,0.06381976105148851,0.0692,False
gpt-5.4-nano_few_shot,gpt-41,GPT-5.4-nano,GPT-4.1,0.7550200803212852,0.7263969171483623,0.02886513834063166,-0.005599703880397671,0.06467285161955885,0.107,False
gpt-4-turbo,gpt-41-mini,GPT-4 Turbo,GPT-4.1-mini,0.7619047619047619,0.7344521224086871,0.027563040341053443,-0.006935842393249402,0.06352292726178865,0.121,False
gpt-5.4-mini_few_shot,gpt-41-mini,GPT-5.4-mini,GPT-4.1-mini,0.7614213197969544,0.7344521224086871,0.02728875067544474,-0.0149714909246873,0.06823649816377776,0.1994,False
gpt-41-mini,neuralmind_bert-base-portuguese-cased__supervised,GPT-4.1-mini,BERTimbau-base,0.7344521224086871,0.7079889807162535,0.026862342730989582,-0.019972857242465607,0.07447224322951736,0.2704,False
gpt-4o,bilstm-crf__supervised,GPT-4o,BiLSTM-CRF,0.7514910536779325,0.7257281553398058,0.026208698362804234,-0.02913892758768923,0.0802436549475569,0.3442,False
gpt-4o,gpt-41,GPT-4o,GPT-4.1,0.7514910536779325,0.7263969171483623,0.025375414540030176,-0.010040165091796375,0.06124283620928681,0.1606,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-35,BERTimbau-base,GPT-3.5,0.7079889807162535,0.7323383084577115,-0.024743030470942517,-0.07186077894071793,0.023623499025099165,0.2968,False
gpt-41-mini,gemini-2.5-flash_few_shot,GPT-4.1-mini,Gemini-2.5-flash,0.7344521224086871,0.7099903006789526,0.024504097645342948,-0.012777339728051422,0.06073823043447844,0.1934,False
gpt-5.4-nano_few_shot,gpt-35,GPT-5.4-nano,GPT-3.5,0.7550200803212852,0.7323383084577115,0.022828793812849288,-0.004796329228105197,0.051065313164910524,0.107,False
gpt-35,gemini-2.5-flash_few_shot,GPT-3.5,Gemini-2.5-flash,0.7323383084577115,0.7099903006789526,0.02238478538529589,-0.017624900068211442,0.06144797392559204,0.2756,False
gpt-5.4-nano_few_shot,gpt-41-mini,GPT-5.4-nano,GPT-4.1-mini,0.7550200803212852,0.7344521224086871,0.020709481552802226,-0.014043749130502608,0.05657500264575531,0.2466,False
gpt-4o,gpt-35,GPT-4o,GPT-3.5,0.7514910536779325,0.7323383084577115,0.0193390700122478,-0.005828106752827796,0.04546529049368419,0.1364,False
neuralmind_bert-base-portuguese-cased__supervised,gpt-41,BERTimbau-base,GPT-4.1,0.7079889807162535,0.7263969171483623,-0.018706685943160144,-0.06900085029316785,0.03108999158374102,0.4558,False
neuralmind_bert-base-portuguese-cased__supervised,bilstm-crf__supervised,BERTimbau-base,BiLSTM-CRF,0.7079889807162535,0.7257281553398058,-0.017873402120386087,-0.06293074327243352,0.027032415881436754,0.4456,False
gpt-4o,gpt-41-mini,GPT-4o,GPT-4.1-mini,0.7514910536779325,0.7344521224086871,0.01721975775220074,-0.01806310453506517,0.053013270803956354,0.3398,False
neuralmind_bert-large-portuguese-cased__supervised,deepseek-v3_few_shot,BERTimbau-large,DeepSeek-V3,0.6541786743515852,0.6704438149197356,-0.01653337765365097,-0.07122966961237347,0.038262246943461975,0.557,False
gpt-41,gemini-2.5-flash_few_shot,GPT-4.1,Gemini-2.5-flash,0.7263969171483623,0.7099903006789526,0.016348440857513514,-0.018922659640885603,0.05080112493212299,0.359,False
gemini-2.5-flash_few_shot,bilstm-crf__supervised,Gemini-2.5-flash,BiLSTM-CRF,0.7099903006789526,0.7257281553398058,-0.015515157034739456,-0.06432349679207824,0.03459260769094612,0.537,False
rufimelo_Legal-BERTimbau-base__supervised,neuralmind_bert-large-portuguese-cased__supervised,Legal-BERTimbau-base,BERTimbau-large,0.6388059701492537,0.6541786743515852,-0.015413247791962329,-0.05949148034534665,0.027815923739186035,0.5012,False
gpt-4-turbo,gpt-4o,GPT-4 Turbo,GPT-4o,0.7619047619047619,0.7514910536779325,0.010343282588852708,-0.022366109190320737,0.04431306854937611,0.5368,False
gpt-5.4-mini_few_shot,gpt-4o,GPT-5.4-mini,GPT-4o,0.7614213197969544,0.7514910536779325,0.010068992923244004,-0.019860105203384663,0.040708659003391746,0.5148,False
gpt-41-mini,bilstm-crf__supervised,GPT-4.1-mini,BiLSTM-CRF,0.7344521224086871,0.7257281553398058,0.008988940610603494,-0.04141321025868199,0.05975088996854101,0.7232,False
gpt-41-mini,gpt-41,GPT-4.1-mini,GPT-4.1,0.7344521224086871,0.7263969171483623,0.008155656787829434,-0.026335478882241803,0.04319509789757561,0.6464,False
gpt-35,bilstm-crf__supervised,GPT-3.5,BiLSTM-CRF,0.7323383084577115,0.7257281553398058,0.006869628350556432,-0.046427874039701014,0.05961572857109318,0.7932,False
gpt-4-turbo,gpt-5.4-nano_few_shot,GPT-4 Turbo,GPT-5.4-nano,0.7619047619047619,0.7550200803212852,0.006853558788251222,-0.023676834132385943,0.039122537766529644,0.6896,False
gpt-5.4-mini_few_shot,gpt-5.4-nano_few_shot,GPT-5.4-mini,GPT-5.4-nano,0.7614213197969544,0.7550200803212852,0.006579269122642516,-0.021063060528147052,0.03574562624220159,0.6644,False
gpt-35,gpt-41,GPT-3.5,GPT-4.1,0.7323383084577115,0.7263969171483623,0.006036344527782374,-0.027886907087200083,0.04045313696384754,0.7388,False
gpt-4o,gpt-5.4-nano_few_shot,GPT-4o,GPT-5.4-nano,0.7514910536779325,0.7550200803212852,-0.0034897238006014867,-0.027555322121337735,0.02071153050613127,0.7716,False
neuralmind_bert-base-portuguese-cased__supervised,gemini-2.5-flash_few_shot,BERTimbau-base,Gemini-2.5-flash,0.7079889807162535,0.7099903006789526,-0.002358245085646629,-0.05145876954946418,0.046866591170964145,0.9274,False
gpt-41-mini,gpt-35,GPT-4.1-mini,GPT-3.5,0.7344521224086871,0.7323383084577115,0.002119312260047061,-0.03334902481372489,0.035763887654305146,0.8926,False
gpt-41,bilstm-crf__supervised,GPT-4.1,BiLSTM-CRF,0.7263969171483623,0.7257281553398058,0.0008332838227740577,-0.04955516612683877,0.05158798758230021,0.974,False
gpt-4-turbo,gpt-5.4-mini_few_shot,GPT-4 Turbo,GPT-5.4-mini,0.7619047619047619,0.7614213197969544,0.00027428966560870497,-0.039165985036667225,0.040998505355885215,0.9946,False
