model,method,token_f1,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash,function_calling,0.8396612504558532,0.7769314472252448,0.7468713640023859,0.7468619246861925,0.8095238095238095
deepseek-v4-flash,json_schema,0.8310491303999359,0.7650273224043715,0.728005396588639,0.7383966244725738,0.7936507936507936
gpt-4.1,function_calling,0.8142533406267094,0.7422266800401204,0.72203743088157,0.6654676258992805,0.8390022675736961
gpt-4.1,json_schema,0.8227289516144709,0.7313131313131314,0.7048717066604034,0.6593806921675774,0.8208616780045351
