model,method,token_f1,span_f1,span_f1_macro,span_precision,span_recall
deepseek-v4-flash,function_calling,0.7793278376664553,0.7231270358306189,0.6898283773950413,0.7207792207792207,0.7254901960784313
deepseek-v4-flash,json_schema,0.7841473232255468,0.6926229508196722,0.6682787244853918,0.6537717601547389,0.7363834422657952
gpt-4.1,function_calling,0.7737320151113255,0.6742424242424242,0.6530994975122535,0.5963149078726968,0.775599128540305
gpt-4.1,json_schema,0.7804200771702103,0.6884920634920635,0.6539453028174833,0.6320582877959927,0.7559912854030502
