pair,kappa_token,obs_agreement_token,span_precision,span_recall,span_f1_micro,span_f1_macro,kappa_doc_presence
gold-pre-correcao x anotador1,0.9797117033551224,0.9927167847728595,0.9840546697038725,0.9795918367346939,0.9818181818181818,0.9760609121518212,0.9584720011575749
gold-pre-correcao x anotador2,0.8282767822966054,0.9405532162541508,0.7835990888382688,0.780045351473923,0.781818181818182,0.7113156226560102,0.7579334716523187
gold-pre-correcao x anotador3,0.8437094024024234,0.9455770086611208,0.7835990888382688,0.7962962962962963,0.7898966704936854,0.7150552310404159,0.7885748043545568
