kind,label,iou,pred_label
FP,RECOMENDACAO,0.0,
exact,MULTA,0.7101449275362319,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.7784342688330872,
FP,RESSARCIMENTO,0.0,
exact,MULTA,0.9503105590062112,
exact,OBRIGACAO,0.9645776566757494,
exact,MULTA,0.9462809917355371,
exact,OBRIGACAO,0.8152173913043478,
exact,MULTA,0.6947040498442367,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,OBRIGACAO,0.9610983981693364,
exact,MULTA,0.890020366598778,
exact,OBRIGACAO,0.9645776566757494,
exact,OBRIGACAO,1.0,
exact,MULTA,0.976890756302521,
exact,OBRIGACAO,0.9621621621621622,
exact,MULTA,0.9543568464730291,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9503105590062112,
exact,OBRIGACAO,0.9662337662337662,
FP,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,RECOMENDACAO,0.9945945945945946,
exact,RECOMENDACAO,0.9945945945945946,
exact,MULTA,0.9748427672955975,
exact,OBRIGACAO,0.9648648648648649,
exact,MULTA,0.9376623376623376,
exact,RECOMENDACAO,1.0,
boundary,OBRIGACAO,0.1780515117581187,MULTA
exact,OBRIGACAO,0.9458544839255499,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
FN,MULTA,0.0,
FN,OBRIGACAO,0.0,
FN,MULTA,0.0,
boundary,MULTA,0.3841059602649007,MULTA
boundary,MULTA,0.25298013245033113,MULTA
boundary,MULTA,0.28874172185430463,MULTA
boundary,MULTA,0.2662251655629139,MULTA
boundary,MULTA,0.4948665297741273,MULTA
exact,MULTA,0.997093023255814,
exact,MULTA,0.8882113821138211,
exact,OBRIGACAO,0.9530685920577617,
exact,MULTA,0.9542619542619543,
exact,OBRIGACAO,0.9662337662337662,
FP,OBRIGACAO,0.0,
exact,RECOMENDACAO,1.0,
exact,MULTA,0.9543568464730291,
exact,OBRIGACAO,0.9662337662337662,
exact,MULTA,0.9748427672955975,
exact,OBRIGACAO,0.9648648648648649,
exact,MULTA,0.9707112970711297,
exact,OBRIGACAO,0.9528985507246377,
exact,OBRIGACAO,1.0,
exact,OBRIGACAO,1.0,
FP,RECOMENDACAO,0.0,
FP,RECOMENDACAO,0.0,
exact,RECOMENDACAO,1.0,
FP,RECOMENDACAO,0.0,
exact,MULTA,0.5481171548117155,
exact,RECOMENDACAO,1.0,
FN,MULTA,0.0,
FP,RECOMENDACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
exact,RECOMENDACAO,0.9940828402366864,
exact,RECOMENDACAO,0.6869918699186992,
FN,RECOMENDACAO,0.0,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
FP,OBRIGACAO,0.0,
exact,OBRIGACAO,0.8333333333333334,
boundary,OBRIGACAO,0.25958378970427165,OBRIGACAO
exact,OBRIGACAO,0.5258103241296519,
exact,OBRIGACAO,0.9266917293233082,
exact,RECOMENDACAO,0.9971910112359551,
exact,RECOMENDACAO,0.9976905311778291,
FN,OBRIGACAO,0.0,
FN,OBRIGACAO,0.0,
