| model_a                                            | model_b                                            | display_a            | display_b            |     f1_a |     f1_b |      diff_f1 |    ci_lower |   ci_upper |   p_value | significant_95   |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-35                                             | Legal-BERTimbau-base | GPT-3.5              | 0.605144 | 0.710448 | -0.106097    | -0.159721   | -0.0541145 |    0      | True             |
| gpt-41                                             | neuralmind_bert-large-portuguese-cased__supervised | GPT-4.1              | BERTimbau-large      | 0.705202 | 0.604863 |  0.101126    |  0.0445115  |  0.160358  |    0.0004 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gpt-41                                             | Legal-BERTimbau-base | GPT-4.1              | 0.605144 | 0.705202 | -0.100755    | -0.155907   | -0.0480155 |    0.0002 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | bilstm-crf__supervised                             | BERTimbau-base       | BiLSTM-CRF           | 0.68956  | 0.592593 |  0.0967447   |  0.0421351  |  0.15363   |    0.0004 | True             |
| gemini-2.5-flash_few_shot                          | bilstm-crf__supervised                             | Gemini-2.5-flash     | BiLSTM-CRF           | 0.686712 | 0.592593 |  0.0943469   |  0.0307421  |  0.15797   |    0.0032 | True             |
| gpt-4-turbo                                        | deepseek-v3_few_shot                               | GPT-4 Turbo          | DeepSeek-V3          | 0.734127 | 0.645892 |  0.0884772   |  0.0533155  |  0.123953  |    0      | True             |
| gpt-5.4-mini_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-mini         | DeepSeek-V3          | 0.730964 | 0.645892 |  0.0855756   |  0.041565   |  0.128907  |    0      | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | neuralmind_bert-large-portuguese-cased__supervised | BERTimbau-base       | BERTimbau-large      | 0.68956  | 0.604863 |  0.0850266   |  0.0437888  |  0.129793  |    0      | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-base-portuguese-cased__supervised  | Legal-BERTimbau-base | BERTimbau-base       | 0.605144 | 0.68956  | -0.0846556   | -0.126225   | -0.0449749 |    0      | True             |
| gpt-5.4-nano_few_shot                              | deepseek-v3_few_shot                               | GPT-5.4-nano         | DeepSeek-V3          | 0.728916 | 0.645892 |  0.083333    |  0.044969   |  0.12162   |    0      | True             |
| neuralmind_bert-large-portuguese-cased__supervised | gemini-2.5-flash_few_shot                          | BERTimbau-large      | Gemini-2.5-flash     | 0.604863 | 0.686712 | -0.0826287   | -0.143118   | -0.0264357 |    0.0038 | True             |
| rufimelo_Legal-BERTimbau-base__supervised          | gemini-2.5-flash_few_shot                          | Legal-BERTimbau-base | Gemini-2.5-flash     | 0.605144 | 0.686712 | -0.0822577   | -0.137627   | -0.030321  |    0.0022 | True             |
| gpt-4o                                             | deepseek-v3_few_shot                               | GPT-4o               | DeepSeek-V3          | 0.723658 | 0.645892 |  0.0781002   |  0.0421194  |  0.114631  |    0      | True             |
| gpt-41-mini                                        | deepseek-v3_few_shot                               | GPT-4.1-mini         | DeepSeek-V3          | 0.71076  | 0.645892 |  0.0650366   |  0.0320814  |  0.0975586 |    0.0006 | True             |
| gpt-35                                             | deepseek-v3_few_shot                               | GPT-3.5              | DeepSeek-V3          | 0.710448 | 0.645892 |  0.0647253   |  0.024392   |  0.104994  |    0.0026 | True             |
| gpt-41                                             | deepseek-v3_few_shot                               | GPT-4.1              | DeepSeek-V3          | 0.705202 | 0.645892 |  0.0593839   |  0.0231258  |  0.0955298 |    0.0014 | True             |
| deepseek-v3_few_shot                               | bilstm-crf__supervised                             | DeepSeek-V3          | BiLSTM-CRF           | 0.645892 | 0.592593 |  0.0534605   | -0.0082544  |  0.114307  |    0.0876 | False            |
| gpt-4-turbo                                        | gemini-2.5-flash_few_shot                          | GPT-4 Turbo          | Gemini-2.5-flash     | 0.734127 | 0.686712 |  0.0475908   |  0.0179062  |  0.0767647 |    0.0028 | True             |
| gpt-4-turbo                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4 Turbo          | BERTimbau-base       | 0.734127 | 0.68956  |  0.045193    | -0.00194463 |  0.0936696 |    0.0586 | False            |
| gpt-5.4-mini_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-mini         | Gemini-2.5-flash     | 0.730964 | 0.686712 |  0.0446893   |  0.00369695 |  0.0836039 |    0.0332 | True             |
| neuralmind_bert-base-portuguese-cased__supervised  | deepseek-v3_few_shot                               | BERTimbau-base       | DeepSeek-V3          | 0.68956  | 0.645892 |  0.0432842   | -0.00626155 |  0.0914018 |    0.086  | False            |
| gpt-5.4-nano_few_shot                              | gemini-2.5-flash_few_shot                          | GPT-5.4-nano         | Gemini-2.5-flash     | 0.728916 | 0.686712 |  0.0424467   |  0.00870091 |  0.0744374 |    0.0154 | True             |
| gpt-5.4-mini_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-mini         | BERTimbau-base       | 0.730964 | 0.68956  |  0.0422914   | -0.0057077  |  0.0914028 |    0.0872 | False            |
| neuralmind_bert-large-portuguese-cased__supervised | deepseek-v3_few_shot                               | BERTimbau-large      | DeepSeek-V3          | 0.604863 | 0.645892 | -0.0417424   | -0.0999965  |  0.0139    |    0.1452 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | deepseek-v3_few_shot                               | Legal-BERTimbau-base | DeepSeek-V3          | 0.605144 | 0.645892 | -0.0413714   | -0.0953578  |  0.0109493 |    0.1254 | False            |
| gemini-2.5-flash_few_shot                          | deepseek-v3_few_shot                               | Gemini-2.5-flash     | DeepSeek-V3          | 0.686712 | 0.645892 |  0.0408863   |  0.0052587  |  0.0771032 |    0.0218 | True             |
| gpt-5.4-nano_few_shot                              | neuralmind_bert-base-portuguese-cased__supervised  | GPT-5.4-nano         | BERTimbau-base       | 0.728916 | 0.68956  |  0.0400488   | -0.00335231 |  0.0842052 |    0.0698 | False            |
| gpt-4o                                             | gemini-2.5-flash_few_shot                          | GPT-4o               | Gemini-2.5-flash     | 0.723658 | 0.686712 |  0.0372139   |  0.00168611 |  0.0700964 |    0.0408 | True             |
| gpt-4o                                             | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4o               | BERTimbau-base       | 0.723658 | 0.68956  |  0.034816    | -0.00984979 |  0.0809774 |    0.1284 | False            |
| gpt-4-turbo                                        | gpt-41                                             | GPT-4 Turbo          | GPT-4.1              | 0.734127 | 0.705202 |  0.0290933   |  0.00148529 |  0.0572529 |    0.0384 | True             |
| gpt-5.4-mini_few_shot                              | gpt-41                                             | GPT-5.4-mini         | GPT-4.1              | 0.730964 | 0.705202 |  0.0261917   | -0.0126976  |  0.0625301 |    0.1864 | False            |
| gpt-41-mini                                        | gemini-2.5-flash_few_shot                          | GPT-4.1-mini         | Gemini-2.5-flash     | 0.71076  | 0.686712 |  0.0241503   | -0.0094223  |  0.0558545 |    0.1562 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41                                             | GPT-5.4-nano         | GPT-4.1              | 0.728916 | 0.705202 |  0.0239491   | -0.00899961 |  0.0567194 |    0.1558 | False            |
| gpt-35                                             | gemini-2.5-flash_few_shot                          | GPT-3.5              | Gemini-2.5-flash     | 0.710448 | 0.686712 |  0.023839    | -0.0145873  |  0.0602289 |    0.2168 | False            |
| gpt-4-turbo                                        | gpt-35                                             | GPT-4 Turbo          | GPT-3.5              | 0.734127 | 0.710448 |  0.0237519   | -0.0111977  |  0.0598609 |    0.195  | False            |
| gpt-4-turbo                                        | gpt-41-mini                                        | GPT-4 Turbo          | GPT-4.1-mini         | 0.734127 | 0.71076  |  0.0234406   | -0.00881694 |  0.0563777 |    0.1538 | False            |
| gpt-41-mini                                        | neuralmind_bert-base-portuguese-cased__supervised  | GPT-4.1-mini         | BERTimbau-base       | 0.71076  | 0.68956  |  0.0217524   | -0.0220783  |  0.0671136 |    0.3296 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-35                                             | BERTimbau-base       | GPT-3.5              | 0.68956  | 0.710448 | -0.0214411   | -0.0663682  |  0.0216445 |    0.3418 | False            |
| gpt-5.4-mini_few_shot                              | gpt-35                                             | GPT-5.4-mini         | GPT-3.5              | 0.730964 | 0.710448 |  0.0208503   | -0.00961865 |  0.0543855 |    0.1908 | False            |
| gpt-5.4-mini_few_shot                              | gpt-41-mini                                        | GPT-5.4-mini         | GPT-4.1-mini         | 0.730964 | 0.71076  |  0.020539    | -0.0211417  |  0.0611562 |    0.3126 | False            |
| gpt-4o                                             | gpt-41                                             | GPT-4o               | GPT-4.1              | 0.723658 | 0.705202 |  0.0187163   | -0.014679   |  0.0515251 |    0.2724 | False            |
| gpt-5.4-nano_few_shot                              | gpt-35                                             | GPT-5.4-nano         | GPT-3.5              | 0.728916 | 0.710448 |  0.0186077   | -0.00781981 |  0.045857  |    0.1678 | False            |
| gpt-41                                             | gemini-2.5-flash_few_shot                          | GPT-4.1              | Gemini-2.5-flash     | 0.705202 | 0.686712 |  0.0184976   | -0.0137902  |  0.0499502 |    0.2616 | False            |
| gpt-5.4-nano_few_shot                              | gpt-41-mini                                        | GPT-5.4-nano         | GPT-4.1-mini         | 0.728916 | 0.71076  |  0.0182964   | -0.0142137  |  0.0511105 |    0.2728 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gpt-41                                             | BERTimbau-base       | GPT-4.1              | 0.68956  | 0.705202 | -0.0160997   | -0.0627356  |  0.030271  |    0.5078 | False            |
| gpt-4o                                             | gpt-35                                             | GPT-4o               | GPT-3.5              | 0.723658 | 0.710448 |  0.0133749   | -0.0107271  |  0.0384473 |    0.2872 | False            |
| gpt-4o                                             | gpt-41-mini                                        | GPT-4o               | GPT-4.1-mini         | 0.723658 | 0.71076  |  0.0130636   | -0.0206498  |  0.0468182 |    0.447  | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | bilstm-crf__supervised                             | Legal-BERTimbau-base | BiLSTM-CRF           | 0.605144 | 0.592593 |  0.0120891   | -0.0451934  |  0.0695812 |    0.6864 | False            |
| neuralmind_bert-large-portuguese-cased__supervised | bilstm-crf__supervised                             | BERTimbau-large      | BiLSTM-CRF           | 0.604863 | 0.592593 |  0.0117181   | -0.0460775  |  0.0704042 |    0.7046 | False            |
| gpt-4-turbo                                        | gpt-4o                                             | GPT-4 Turbo          | GPT-4o               | 0.734127 | 0.723658 |  0.010377    | -0.0210789  |  0.0432046 |    0.5246 | False            |
| gpt-5.4-mini_few_shot                              | gpt-4o                                             | GPT-5.4-mini         | GPT-4o               | 0.730964 | 0.723658 |  0.00747538  | -0.0228523  |  0.0385581 |    0.6312 | False            |
| gpt-41-mini                                        | gpt-41                                             | GPT-4.1-mini         | GPT-4.1              | 0.71076  | 0.705202 |  0.00565271  | -0.0261693  |  0.0374036 |    0.7304 | False            |
| gpt-35                                             | gpt-41                                             | GPT-3.5              | GPT-4.1              | 0.710448 | 0.705202 |  0.0053414   | -0.027115   |  0.0377858 |    0.7566 | False            |
| gpt-4o                                             | gpt-5.4-nano_few_shot                              | GPT-4o               | GPT-5.4-nano         | 0.723658 | 0.728916 | -0.00523278  | -0.0288135  |  0.0187038 |    0.6564 | False            |
| gpt-4-turbo                                        | gpt-5.4-nano_few_shot                              | GPT-4 Turbo          | GPT-5.4-nano         | 0.734127 | 0.728916 |  0.00514418  | -0.0232209  |  0.0355121 |    0.7504 | False            |
| gpt-4-turbo                                        | gpt-5.4-mini_few_shot                              | GPT-4 Turbo          | GPT-5.4-mini         | 0.734127 | 0.730964 |  0.00290157  | -0.0343392  |  0.0418152 |    0.8988 | False            |
| neuralmind_bert-base-portuguese-cased__supervised  | gemini-2.5-flash_few_shot                          | BERTimbau-base       | Gemini-2.5-flash     | 0.68956  | 0.686712 |  0.00239786  | -0.0492397  |  0.0517084 |    0.9184 | False            |
| gpt-5.4-mini_few_shot                              | gpt-5.4-nano_few_shot                              | GPT-5.4-mini         | GPT-5.4-nano         | 0.730964 | 0.728916 |  0.0022426   | -0.0249662  |  0.030742  |    0.8826 | False            |
| rufimelo_Legal-BERTimbau-base__supervised          | neuralmind_bert-large-portuguese-cased__supervised | Legal-BERTimbau-base | BERTimbau-large      | 0.605144 | 0.604863 |  0.000370996 | -0.040121   |  0.0429149 |    0.9964 | False            |
| gpt-41-mini                                        | gpt-35                                             | GPT-4.1-mini         | GPT-3.5              | 0.71076  | 0.710448 |  0.000311302 | -0.0342257  |  0.0331833 |    0.9712 | False            |
